"Private debt, loans and debt securities (Percent of GDP)",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cambodia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.3654114,3.2988437,3.4788315,4.7222027,6.2764496,5.5850184,5.7057685,6.3797054,5.9877688,6.3099791,7.2109888,8.8985244,8.8626166,11.918271,18.015553,23.24334,24.275155,27.180261,27.981361,38.080804,51.288981,61.19152,73.051344,80.574818,85.616146,98.647159,113.46259,142.0496
Cameroon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.28231,10.498612,12.355497,11.929833,12.412318,12.145128,12.705895,12.912106,12.516115,12.969111,12.984381,14.488764,13.711736,13.77566,15.480011,16.666315,18.672656,21.87539,23.826623,24.080531,24.947899,26.309702,26.380113,26.087832,21.307133,19.320684,20.282548,21.845827,20.599734,21.17405,22.275206,22.310099,10.573313,9.8709882,8.8684175,7.8807692,7.5940768,6.2837528,7.1083534,7.4990713,7.7760927,8.1780363,8.5124219,8.9008805,8.3362681,9.0632453,8.7023279,8.8029317,9.5929967,10.209024,11.221668,12.708895,12.721182,13.374023,14.164005,14.644354,14.757441,14.285253,14.986697,14.163465,no data
Canada,no data,no data,no data,no data,68.48849,76.768689,77.211625,74.625861,73.93133,80.887605,79.62981,80.371289,81.415354,79.655094,81.426989,87.53009,82.823024,87.832377,91.899329,88.59659,88.56157,92.338071,95.774935,97.853165,98.822198,101.57595,103.08062,108.71513,113.04207,117.29578,120.08973,122.71486,119.32604,111.71235,108.47666,110.27225,114.29827,117.92139,124.07233,131.64378,134.70779,141.06242,142.60519,144.70609,142.36526,141.98018,142.02393,145.2296,151.48286,144.41274,143.76545,150.41951,154.53902,151.23981,153.54379,149.49423,153.99939,161.59676,167.36961,183.19466,179.948,179.2628,184.9172,190.45913,194.09885,209.27749,213.75632,213.47213,216.5719,220.11341,244.47344
Central African Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.651004,28.411357,28.548667,30.341741,26.444118,24.671643,25.394684,25.219174,24.569346,24.240596,21.737106,14.911593,14.346272,13.60666,16.817081,13.488855,10.243602,10.46538,11.372911,8.1586502,13.715438,11.024109,12.423463,11.955164,10.81259,9.0755161,8.1504859,8.0032139,7.1290504,7.2501236,6.9445149,6.5378158,4.3877808,4.2807513,3.8856614,4.0698512,4.4280407,4.2032021,4.5365854,4.2793438,4.9372412,5.1533823,5.8253106,5.8781044,6.8985828,6.5029992,6.3370007,6.5254275,6.7435365,6.7537403,8.2106954,8.8908833,10.304231,12.801548,12.373106,11.293625,11.892561,10.789613,11.759027,11.139254,no data
Chad,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.4781826,14.260488,12.337744,14.686181,14.061766,13.164867,13.784846,17.87377,19.425547,19.766034,14.382153,11.64229,11.255635,11.920736,13.921022,17.23003,14.408942,15.925144,19.310511,27.884624,26.806601,14.797384,12.554851,10.945697,12.544096,17.470597,21.257998,21.372538,7.7248306,7.2304111,7.3326806,7.3335927,7.2182368,5.3112305,3.8068949,4.0429408,3.8245492,3.3959569,3.4715402,3.7653533,3.653277,3.6272964,3.5909983,3.6861145,2.7513926,2.5108282,2.1873728,2.3698077,3.0201709,3.8401746,4.1686704,4.763388,5.7206318,5.973086,7.6900797,8.2453504,9.5271887,9.530329,9.7731664,9.4128541,no data
Chile,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,77.623106,90.494258,75.363396,62.331401,57.938911,55.29544,62.909385,63.658313,58.245948,61.503256,69.060937,67.937385,72.851474,80.970145,88.826506,95.78787,105.58803,109.5585,112.80875,113.59265,104.19687,96.119617,93.494429,89.906849,94.042625,114.19312,111.09327,103.26892,109.97416,116.42409,124.62768,135.61492,146.96157,144.11264,138.92408,145.68873,157.91765,164.18806
"China, People's Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,63.906655,73.359094,74.445444,70.696383,74.130061,82.71828,84.557424,83.005169,85.262611,78.660494,77.977028,80.766653,88.296584,95.027329,109.48763,109.78705,101.99577,102.36609,122.28504,116.05199,108.53147,108.75995,105.75891,105.82769,127.75566,138.42283,136.6459,146.68679,155.12767,167.58834,179.92635,189.59193,191.1656,188.34985,189.53128,200.70947
Colombia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,47.455636,54.079125,54.268965,53.802967,47.158265,46.31367,48.496911,44.293344,40.763279,39.649019,41.745688,43.447796,43.590897,45.219247,48.873149,50.295998,50.650453,54.608332,60.508429,65.589906,64.270477,62.389135,61.973875,60.582465,66.725384
Comoros,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.2576193,5.9463487,7.6566819,3.9787586,4.453255,5.0219518,6.7971004,5.967191,8.2231585,8.4865428,8.6180198,7.2602593,6.5206718,6.4046742,4.4416132,5.3071224,4.3004727,4.9892981,5.2211802,4.2363109,4.26898,4.6995348,4.0905359,5.1252619,4.9467454,5.3118626,6.0189409,7.1873834,8.4481363,9.1264878,10.609853,11.382215,12.325539,14.374385,14.931978,15.397368,14.950082,14.556875,14.086993
"Congo, Dem. Rep. of the",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.65145897,0.93825794,0.74017284,0.7193351,0.74228781,0.52988375,0.60263563,0.78720117,0.92086764,1.2621817,1.5185594,1.9717837,2.0679574,1.3958454,1.1904382,1.0442327,0.71501264,0.61705308,0.52032085,0.51503129,0.44875777,0.37699053,0.37022713,0.48129686,0.64647224,0.55281638,0.44702644,0.41017677,0.16540038,0.18651871,0.22188496,0.24518949,0.21490097,no data,no data,no data,no data,0.15117646,0.46507568,0.39907998,0.71026569,1.012689,1.1672113,1.8017194,2.2992034,4.3781448,4.83322,3.5990391,3.8762652,4.6320183,5.0993226,5.5860473,6.1479936,7.2454934,5.3168194,5.7043614,6.0188808,7.2840807
"Congo, Republic of ",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.593551,12.432841,12.139601,14.366461,14.450923,12.228887,12.511403,12.700424,11.729888,11.572351,11.661289,12.215444,11.921837,12.506629,11.836098,13.840999,16.400571,17.010077,15.4791,13.971507,12.098451,19.304061,25.490942,28.010684,31.568059,33.371421,31.908529,27.882081,15.141899,14.043316,14.922845,14.195144,13.925952,7.6728042,6.5095636,6.9054968,6.6730438,7.0255261,8.3794944,9.5983977,4.1983687,4.4842212,2.5949882,3.280827,2.6659704,2.1995175,1.9942241,2.1428038,3.1793723,4.826075,5.8603839,7.0459713,7.3419491,8.7847361,11.025029,15.215145,19.055445,16.489217,13.893811,13.171139,no data
Costa Rica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.076351,28.313875,27.484675,32.198448,36.467159,44.166825,47.445891,45.224538,43.958712,45.881035,48.365894,55.627172,60.517971,54.744097,50.592035,54.963489,54.775269,58.26159,61.107554,62.119278,65.014205,65.6,66.516397,62.762143,67.557961
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,32.160509,34.587731,39.047746,47.930194,50.299813,57.388476,57.295704,71.507646,80.223761,83.312778,87.550169,92.531514,101.86478,111.4885,120.70044,133.41727,143.08848,141.95513,141.50223,141.22775,140.25769,137.5374,131.30758,127.33503,125.4822,121.43438,133.71448
Cyprus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,91.114495,90.647275,85.587466,90.449873,99.041495,86.170304,94.507352,88.982077,106.28432,110.25832,113.45538,108.06761,118.36861,131.26921,157.62887,193.19172,174.26018,178.09475,175.4213,169.01087,159.20814,156.40532,155.00938,155.01054,148.59414,154.03163,158.80631,159.38023,233.50915,244.44986,258.10863,284.43908,287.15607,307.02433,312.83576,317.64039,314.74904,315.3114,310.09084,303.77739,304.96083,274.24432,277.33285,258.26956,222.5275,249.52133,252.78217,267.8695,291.00038,306.30877,314.50696,325.38744,328.35509,342.51181,353.51115,348.50367,330.09092,308.08801,287.11216,259.3065,270.76202
