"Private debt, loans and debt securities (Percent of GDP)",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Korea, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,26.759016,24.119386,19.843514,23.972783,26.594801,36.801508,44.989375,54.652088,55.085461,58.572206,57.984324,59.296505,61.414371,54.486788,51.54485,52.191744,56.423958,62.58061,77.646083,83.445577,93.585226,95.705171,99.660427,106.63471,104.63626,100.19596,95.433093,108.17784,115.8577,122.00015,126.19227,130.86624,135.14242,136.45054,145.59484,160.33544,159.29939,144.68195,138.31288,139.58567,146.16847,143.09782,134.61015,136.88013,147.87197,153.99516,168.34373,173.51425,168.70732,172.81811,175.33771,176.22277,179.62668,180.86758,181.71587,181.90672,187.36232,196.58094,213.9439
Kuwait,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.893831,6.8639963,6.4985153,7.118757,7.3668061,7.9328047,9.2916052,7.776851,6.7518236,6.3583551,6.8977464,9.244599,12.431621,16.616855,26.015317,32.661832,39.220325,33.658039,37.494878,57.624619,79.907824,79.484196,80.199346,81.306534,103.57813,91.928126,100.59076,81.615802,no data,29.587016,19.62491,19.002473,25.554661,33.246439,34.637422,47.41106,63.894859,55.986944,48.146511,58.041671,58.809839,62.05284,58.973648,53.753906,56.097821,69.721967,66.409971,81.358475,75.044045,59.857142,53.447484,60.419876,67.13063,98.783776,104.35751,103.848,95.189488,no data,no data
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.53916,8.6593189,3.4130556,5.2769928,5.0222407,4.0987455,3.7626906,4.110888,4.7245108,7.0303833,7.8756063,10.477091,6.0736877,13.541533,12.565214,12.063385,11.120556,13.120398,15.398372,19.779155,22.377403,20.194104,21.012721,23.002572,24.141215,27.976142
Lao P.D.R.,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.16357499,0.34085695,1.4474593,2.1647689,3.3085719,4.1544684,4.1757858,4.1092759,5.6223344,10.473346,7.345651,7.6061311,8.1244905,6.7493734,5.5767637,5.4458005,6.2100711,5.0126191,5.8130923,8.7657724,15.631817,19.863134,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.102593,18.835242,25.24689,33.118694,38.064619,47.491299,47.847807,51.870346,63.837437,70.302507,86.08032,106.12537,110.06423,114.14573,138.76553,139.43498,127.49173,109.76637,102.52272,96.057806,88.274532,90.46429,86.902933,82.333255,79.382825,76.81188
Lebanon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,65.031361,70.354029,68.075482,67.285878,53.461927,52.621825,49.651527,55.776322,58.03475,74.640197,79.669522,113.84997,217.23535,118.59105,142.91399,146.82396,145.07388,159.22988,256.56801,254.74666,192.96561,122.20215,147.73069,89.912297,68.420249,81.719573,98.590233,59.933748,63.539982,56.471269,64.027722,71.921469,74.679971,76.198551,81.417,91.048888,95.075703,92.331144,88.615673,88.796061,84.154872,75.034033,77.268585,82.930853,78.782246,74.39843,84.186496,90.560589,91.549795,92.919791,99.46711,100.64915,104.52484,106.59579,no data,no data,no data
Lesotho,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.0681647,3.4594692,2.554631,2.8520891,4.2044069,4.9400136,6.9299236,6.9828433,10.7692,12.888333,11.267653,13.620033,14.467746,12.506138,13.628627,14.225391,14.321136,15.012681,16.195299,15.897261,18.451901,22.525894,18.690813,16.705702,21.903782,16.755107,15.230915,14.19469,13.068849,13.520312,5.7025429,5.7377816,7.942991,8.2039089,9.268347,9.8188673,12.094761,12.783146,13.874412,17.815161,18.966448,18.471145,17.85803,17.900948,19.739162,21.034474,22.033191,22.341353
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.9918355,2.0295033,2.0549175,2.5581694,3.3521158,3.8096701,4.7441323,5.2593749,6.1266499,7.9469632,9.3669852,10.374264,10.307504,12.245498,11.737565,12.945835,13.499704,17.28901,17.802108,no data,no data
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.142019,27.839123,21.387718,21.991103,24.257831,26.434425,30.771167,31.458124,30.562178,31.694594,36.138355,42.143943,51.903241,64.69341,83.100723,84.343846,86.757308,78.457154,68.612775,65.277969,62.30465,58.33855,59.932469,63.161386,64.364195,64.181267,63.657019,63.480667
Luxembourg,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,112.28728,113.61102,159.57981,130.19418,131.12346,127.1648,161.84234,171.04477,226.81554,210.21997,199.37131,208.43341,330.81218,325.41976,371.56572,335.02581,341.20937,364.89081,366.20394,399.01333,399.12649,385.60196,404.23802,408.34695,406.56114,412.56879
Madagascar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.3742382,9.1137305,9.4685798,8.6450501,9.1773663,10.146519,10.009541,9.8139239,10.834296,11.333836,11.222262,10.826401,10.255103,9.5558519,10.034263,11.594831,11.743642,12.695636,14.112215,13.293039,12.436972,12.175941,13.45087,14.397114,14.440666,14.535979,11.687388,11.43331,12.891457,14.258224,13.264094,13.651622,12.389515,9.4698578,7.8565253,8.2831841,7.563907,7.2075379,7.3520425,6.9794572,6.6584811,7.5386724,8.6072745,8.4956383,8.6948353,8.7501178,9.8041103,10.238718,10.227185,9.4304388,9.4372906,10.185543,10.975484,11.468932,11.055067,12.630604,12.925026,14.04697,16.173616
Malawi,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.2719674,2.2438195,2.4997492,2.8591984,3.349093,3.714744,3.9883625,3.89645,3.3767967,4.0817622,3.7975224,4.6764348,4.939078,6.2600294,8.4067751,7.4988977,7.0888324,7.2021012,7.2591196,5.4779125,4.4779149,4.404,3.2730286,3.1227266,3.7368641,4.4869216,4.3629244,5.5861587,3.4364157,4.6028799,2.4021144,1.6501027,1.4994514,2.6193947,1.9444358,2.2951487,2.1396459,1.9509149,2.2279898,2.6127304,2.8712358,3.6239289,3.8907701,6.4726301,7.7235651,9.8221728,9.8951603,10.351039,8.8444898,8.0991738,8.6670088,7.3541079,no data,no data,no data,no data
Malaysia,no data,no data,no data,no data,no data,2.954501,3.7889775,4.1647907,4.5636154,4.989701,5.9029834,7.7301667,8.1984434,9.7374831,9.3038326,10.600238,10.98954,11.04382,12.321341,14.574333,16.648211,17.766918,18.558548,22.68588,22.134339,24.949422,27.15372,29.187036,33.352843,35.297049,42.472561,49.154602,53.402361,60.259226,63.730999,75.036041,86.346931,77.62684,74.928144,82.900394,60.152315,62.97058,92.421452,90.243476,93.464423,107.69552,120.93025,136.50209,138.80765,128.76805,116.47607,121.14408,123.01634,116.14802,114.78576,117.54922,114.47351,114.10901,107.48361,127.83066,123.74508,127.65369,129.36144,137.64259,137.55661,143.942,142.91742,142.37102,139.98235,139.07274,155.98537
Maldives,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.79120517,6.0347882,4.2017183,4.0953283,3.4545414,9.1602942,15.547561,18.826751,23.306043,19.185074,15.97407,13.037182,10.079452,10.661789,11.474893,9.1302527,7.8730321,10.415549,11.357137,11.843035,11.461673,12.868697,15.223834,14.50738,14.787815,18.443491,19.667399,16.548972,22.451176,37.807626,41.499057,52.153917,55.559457,51.440503,45.692856,39.578225,32.590864,28.794476,26.372064,26.575842,27.535742,28.191054,28.130651,28.430161,46.929793
Mali,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.32921,3.6595768,4.8198511,1.5426786,1.527185,1.4797398,0.51493025,0.54687727,7.2459498,9.5833672,8.8785546,9.0652789,11.154015,10.416753,15.047326,21.484023,23.652385,16.699564,19.344485,18.831602,19.125394,19.393347,19.716956,18.825307,11.361527,12.999126,14.514014,13.745365,10.18635,10.938183,9.5954251,9.347889,10.323672,9.8715726,6.0579809,7.9017364,9.8767824,10.553842,12.820383,13.542758,13.497683,13.483247,14.646225,14.857124,16.866093,14.6819,15.321563,16.109463,11.818124,16.323376,17.867665,18.259979,19.411356,20.782441,21.95325,24.882561,26.31228,25.853962,25.532045,24.410198,25.894777
Malta,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.514935,15.677068,16.818791,18.758806,22.40963,23.731079,29.498951,36.320885,42.827598,63.501403,68.636535,72.900079,73.862211,62.294766,59.415372,46.351094,40.120238,35.261549,32.916735,34.104898,39.107127,42.420186,51.04771,60.365016,67.404348,74.676201,78.061194,80.879224,85.139758,92.230977,104.42031,112.57788,115.4937,122.81644,125.78355,127.08124,134.89494,136.19267,141.62022,143.75767,134.82858,142.15426,145.00626,153.78311,163.08896,159.46495,173.12224,179.65289,195.0783,216.31102,216.65676,229.28118,224.04766,211.60587,203.30694,195.24023,194.96912,194.93951,203.52591,206.77116,232.05568
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.2305508,2.3243652,2.2827065,2.4432546,2.1810599,3.7412134,5.2492621,6.6292577,9.0369723,8.6293324,9.374045,12.998356,11.439445,19.004852,18.802788,22.15649,23.840903,20.343772,20.952096,21.095963,22.226308,21.715969,21.865804,21.392435,19.785959,19.34648,19.586647,19.355701,24.477392,18.559975,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,18.401481,14.617423,16.299179,19.208394,19.977723,18.275403,16.593447,16.766381,18.34584,19.5203,21.115578,20.29891,21.196708,23.368061,23.602851,no data
Mauritius,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,71.043634,77.589575,77.515567,83.936797,90.064994,94.452083,97.081037,92.067596,95.142182,89.647332,89.504625,81.471738,83.474268,no data
Mexico,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,38.49674,40.175001,33.921883,27.044432,30.277549,35.544259,39.486579,37.955145,22.437688,28.311224,29.453084,37.207237,44.408135,45.173003,49.473779,49.523106,40.603996,34.564635,32.02502,27.004759,25.08598,23.789634,24.624452,24.895951,23.93054,24.026012,25.544375,28.217852,29.924472,30.245069,29.819643,31.856832,31.956053,35.100113,36.518642,39.710443,42.760592,42.536198,41.777776,41.125045,44.790185
"Micronesia, Fed. States of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.603755,27.529828,28.139204,29.986745,32.145386,30.699038,29.01961,20.854254,16.322754,17.978488,19.769521,20.681079,21.002372,19.872313,21.08714,20.588722,19.498457,19.335144,19.651696,21.167587,22.830109,22.631623,22.762628,19.820503,21.821324,22.127331
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.8173272,5.8282605,4.9794094,3.67413,6.6636229,7.6733236,6.8905693,13.815641,11.743514,12.338641,14.658071,17.086652,20.226176,21.138627,23.364303,27.229684,36.626042,36.210552,35.677757,27.674478,27.650641,31.780111,33.399424,28.308741,26.350123,21.956294,19.220674,18.799104,19.512369,22.294856
Mongolia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.838593,11.322908,5.5812518,9.2376783,6.8902204,7.0121731,4.1076561,7.7000072,4.5198901,4.8206191,7.6271776,13.05698,23.95213,25.251474,31.04909,33.187663,46.037286,45.018507,46.48549,39.498325,53.10677,49.180338,62.917911,63.399687,61.642784,85.354696,78.627286,80.349284,78.129125,77.369858
Morocco,no data,no data,no data,no data,no data,no data,no data,no data,10.786439,9.9925922,9.888706,12.222281,12.123992,11.586798,10.767615,10.352499,10.817977,10.856248,11.801834,11.310027,10.760721,11.256119,12.174578,13.705972,13.591794,15.118456,15.777624,15.867195,15.49655,15.292724,14.493785,16.083578,17.032137,18.304978,18.518113,17.217604,no data,no data,no data,no data,15.585863,19.619888,22.353798,24.08617,24.43439,27.898507,25.456954,44.758147,46.694047,50.377481,52.033219,50.655886,49.374224,46.894154,45.775744,48.482397,49.706658,58.795031,63.804399,66.552821,70.337418,73.860438,74.88781,72.152782,72.6488,70.101464,70.742193,69.888873,68.327557,68.818913,75.89341
Mozambique,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.2037326,3.8294486,2.7978732,10.953156,12.448064,8.8721572,8.7986597,8.7600207,7.6293161,9.2066524,9.9939005,10.820664,12.32246,9.1560854,9.2442355,8.1126809,6.8568865,8.907342,9.9387849,10.16749,14.097226,19.848214,21.786182,20.754799,22.357664,26.116026,30.090236,31.885972,30.961609,23.812978,21.429002,20.536894,23.654118
Myanmar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.7898519,6.5346441,6.712908,4.3065945,2.9229857,1.7848284,2.1490986,1.8017952,1.8261704,2.0856847,4.4806558,4.3414397,5.4461867,5.2140026,3.2644382,3.7424651,5.6469831,6.8427288,8.487021,6.5511321,6.3054691,6.8283741,6.1630346,6.1270079,5.2718052,5.7901584,5.6803202,4.9873554,3.3615816,2.8434836,5.1306736,6.9809773,7.6630817,6.7427389,6.3403474,7.914864,9.6048654,10.243027,9.9068661,8.0827595,8.8705372,11.081231,11.009749,4.0822908,4.442787,4.6477486,3.8814479,3.4395301,3.1066849,3.5271869,5.0614301,7.2328061,9.6236986,13.419165,16.370279,18.964218,23.488629,26.245434,27.786474,27.986456,26.706328
Nepal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.88600117,0.87887285,0.93253682,0.85637146,1.0256884,1.327208,1.1812149,1.2923203,1.6630805,1.8096458,2.0240072,2.8908332,2.775785,3.2227316,3.3318928,3.6048821,3.0806772,3.5880786,4.2927297,4.8017558,6.4312489,6.8899301,6.7451813,5.890935,6.0258674,6.756132,7.4408925,7.3669365,8.3983184,9.3055306,9.0530577,9.4041094,9.5025975,10.354378,13.282803,16.39287,16.57905,16.960985,20.480137,20.651979,21.981911,22.665311,19.673117,22.564382,23.212942,24.670177,28.51448,32.150078,44.745411,51.367363,47.376433,45.85918,48.309074,50.106922,54.131922,56.591518,69.532676,68.259986,75.945622,78.610907,87.52351
Netherlands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,47.629974,52.045228,55.917361,56.591307,58.376667,60.23915,65.11249,69.338795,64.150522,66.220029,66.397629,69.88677,77.644056,82.258802,83.326053,88.504526,98.86339,111.83378,121.77159,125.6003,127.11337,126.60759,128.56782,129.14633,128.77002,135.18294,141.64288,152.42086,156.0123,163.39786,166.013,172.37085,175.15593,180.31735,180.41827,187.80907,192.85021,203.30996,214.8384,220.39194,217.80772,217.93701,232.88528,233.0209,237.39832,233.50737,233.08494,235.90709,252.33323,265.44845,277.0905,282.25375,282.28864,289.19546,287.1445,286.92882,276.90647,266.782,254.65055,256.26632
New Zealand,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.185271,30.385057,28.200509,27.577498,27.045676,29.149791,29.827859,28.407145,30.21551,30.301816,31.202972,29.330543,29.058806,35.527527,39.437115,37.86593,38.486781,43.386994,46.644896,49.480497,49.934549,60.015399,61.52357,74.619361,83.680521,94.843018,104.32919,101.22773,97.07453,95.035086,98.776687,105.08141,108.59819,112.3022,112.84523,123.85396,122.26491,134.38198,138.47586,141.49027,147.13042,144.46899,148.55775,150.0907,159.78124,172.94549,184.05288,190.85629,199.35172,195.43773,186.94731,177.94232,178.99414,175.25799,173.57726,175.28563,177.13383,173.61887,172.27537,170.51003,174.55715
Nicaragua,57.586038,56.824888,60.888202,76.135598,102.04821,103.95305,113.49663,96.601076,98.730455,80.489558,83.196191,80.572091,80.618732,79.676791,69.472514,63.627024,60.239882,50.426615,42.865165,33.718403,27.923766,22.904209,18.786002,18.849467,19.445257,18.160468,18.747834,18.491076,20.934718,36.967431,37.219429,40.483428,42.55478,21.577699,13.524977,12.472634,12.512662,10.125972,11.966975,5.1112951,11.000669,7.1214073,10.452761,13.051828,15.698787,16.547063,12.866244,16.171557,19.807077,23.141115,23.515347,13.670671,15.082547,17.631393,19.578726,22.550281,26.387824,30.121953,28.140507,25.380803,24.265003,23.948911,26.742056,29.369408,31.170966,34.144892,36.693884,39.083745,35.967856,30.041783,27.862237
Niger,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.600293,5.8572109,7.8284745,8.2589579,10.015623,11.863388,9.9058058,9.4738091,12.244783,10.681327,9.6030844,9.2551641,10.0706,11.959174,18.466877,19.051674,13.09681,12.507921,16.660507,19.272686,19.097437,19.753332,19.069372,19.555919,19.267554,17.761146,19.636227,18.3228,17.89674,14.716023,13.969447,13.055659,12.966828,12.044267,10.647268,5.8602451,5.6477964,4.2667913,5.0770303,4.90053,6.190778,5.9021431,4.4036413,4.5694392,4.3409393,3.826515,3.7515661,6.9680515,7.9620407,8.8002366,8.928792,9.7789932,9.8604291,10.353674,10.588447,11.160979,11.411568,11.292428,10.061584,11.067815,11.481962
Nigeria,no data,0.35016309,0.53112074,0.53733837,0.55715981,0.80266913,1.0028015,1.2680318,1.3843949,1.3348045,1.6105435,1.5991681,2.1831126,2.4535564,2.6332747,2.6630829,2.8481186,3.1402664,2.5134274,1.985053,1.5670208,1.9471129,2.0948589,2.2157385,1.7722533,2.3213744,2.6148252,3.1067797,3.718595,3.6513018,4.3098484,5.4419557,6.0596076,5.8463655,5.9031545,5.6939805,7.155051,6.2378929,5.7121394,4.7926258,4.7026496,4.7449631,7.8128485,6.6530202,7.7010262,6.6713846,6.3848537,7.2358496,7.6490424,8.0852964,8.0793278,9.5667634,7.8026551,8.3839384,8.235943,8.2587039,7.9998754,13.455798,18.178883,18.598415,12.8212,10.593337,10.275459,11.309515,13.054144,12.920682,14.438556,12.267188,9.8506914,10.107525,10.947619
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,34.965871,48.375568,60.366042,71.160681,75.245281,76.422972,77.651477,82.82726,82.197196,85.186778,88.336217,90.709363,91.562041,91.571062,93.246831,99.11491
Norway,no data,no data,no data,118.98136,119.2778,116.76067,106.27025,105.42453,109.95024,111.23296,117.20041,118.9888,119.17826,118.18247,116.15919,111.88168,114.34377,113.27579,115.36022,120.16019,114.92886,115.33245,117.39482,116.08739,112.76838,119.72527,124.33401,134.04054,133.80814,130.24303,124.38018,122.17455,130.05083,131.94131,139.35864,142.93157,161.13801,169.06163,175.41019,175.36475,170.78197,158.88749,164.36361,156.07599,146.61312,142.09299,139.35239,150.47768,165.32491,164.32963,156.5001,164.25262,173.97378,176.78369,182.0868,181.56159,183.17022,201.56235,215.96645,225.28428,225.66322,218.63011,225.78442,223.53247,229.61239,249.70747,256.47558,245.46374,234.05566,248.4224,269.39987
Oman,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.6032851,7.7231367,18.055825,15.34962,15.84447,19.235328,22.811574,18.80911,15.077387,14.643265,15.721332,18.647564,20.440444,21.930919,25.02688,24.202916,27.663149,26.664529,24.037987,25.006194,25.087439,26.414793,28.816025,29.832402,30.108826,39.935944,60.085633,60.027065,48.690973,51.713103,50.397179,47.874085,48.089438,46.359063,44.397654,52.626194,48.067074,62.579845,55.057997,51.809758,51.4455,51.987748,54.542718,78.631947,91.053412,97.328213,90.164066,98.827653,no data
Pakistan,4.1142748,4.4825875,4.0077882,4.0649511,5.1336312,5.7547526,5.1508296,5.0077615,5.1610611,5.2503218,6.4980697,6.748177,8.7503832,10.89038,13.915163,14.932164,16.958195,17.946727,18.320877,18.440017,20.853308,20.162489,23.364457,20.249964,15.254369,14.321125,16.901978,17.683969,17.139775,17.88382,16.730788,16.851528,17.222862,18.597745,18.839032,21.611531,23.170348,21.503691,20.511917,19.403081,18.67871,17.259448,18.261173,18.98688,18.561716,18.717206,20.116428,20.319474,21.678399,22.240908,22.132382,21.183182,20.504715,21.710477,25.071933,25.815237,26.833338,27.745332,29.282465,24.574007,22.94491,19.256114,17.910355,16.67026,15.391644,17.041708,19.701816,21.762809,25.098203,26.980128,27.390216
Papua New Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.568463,10.020553,9.6592998,8.7457283,7.8442422,7.4108953,7.5444256,9.7939375,11.839387,12.44428,12.748707,15.49687,16.770115,18.813007,19.431813,16.563408,19.08189,18.68918,17.081297,13.802157,11.030304,10.627523,9.5171246,8.7552569,11.307183,13.234703,11.527312,11.214288,10.738256,10.120847,8.6937143,8.4755629,9.2753712,11.326153,13.84652,16.145694,18.259624,17.886015,17.53402,18.873751,20.625879,17.865765,17.602057,17.3999,15.024654,14.758672,14.45456,15.523203
Paraguay,no data,no data,9.0489711,9.3597781,11.383899,15.477207,13.643823,11.082168,10.209119,10.701202,9.1492914,5.1317433,6.0558357,7.1372807,8.7333267,10.353992,12.956432,15.934241,18.284972,21.568917,24.431438,24.743504,23.973208,24.302782,21.186708,21.727276,22.785458,23.176795,23.957011,23.170781,23.561324,21.831698,22.863328,21.652675,19.70116,16.665516,16.697184,15.124844,18.423127,18.236274,19.749986,19.745343,23.298267,26.980869,31.403986,27.908553,28.790541,30.848362,27.339315,27.069705,31.02167,30.69075,29.388178,23.298649,21.096356,18.994781,16.349306,17.085142,20.995359,23.853574,27.4665,30.995961,33.986564,35.969294,39.859911,45.213808,42.991189,42.044871,44.662816,48.965914,51.862007
Peru,12.562034,12.948861,15.432392,15.220377,14.767459,16.082383,16.420141,15.696104,14.645026,13.252677,13.037081,14.097562,14.431162,14.524862,14.666125,14.658825,13.702341,12.967021,11.73908,11.486546,11.500933,12.607504,13.820799,14.13287,12.31083,12.481039,11.377094,9.5537605,8.1544348,8.2147417,10.169679,13.148819,13.226542,15.68001,13.848297,11.095532,9.2963411,8.407132,10.195849,8.7513248,10.455861,9.0133762,11.808041,14.404414,17.61916,21.05315,26.710605,31.574419,34.859695,36.401434,32.412521,29.323312,26.663597,22.870527,21.354707,20.946303,20.769457,25.817909,29.800641,30.051603,30.278459,33.21548,34.626802,38.096228,43.313761,49.474486,51.306917,no data,no data,no data,no data
Philippines,6.8455032,7.557239,7.2812022,7.6265102,8.2018682,8.9010372,9.1903267,10.449084,10.381594,10.810297,11.3123,14.5708,15.594242,17.506419,19.153461,18.294928,18.7713,19.828635,20.173152,20.002501,19.897428,19.4794,20.676229,22.403846,23.802747,23.864626,25.272896,26.113814,28.798873,29.89773,32.295469,33.740155,34.327579,37.914215,25.135775,20.661334,15.258272,16.40974,16.56082,17.744011,19.745797,18.282843,21.038598,27.130234,29.880176,38.575874,51.737058,62.430691,54.957196,49.959659,47.762426,45.329079,43.005194,39.448139,39.19851,34.483669,32.906722,31.70558,33.855369,35.672243,35.893241,38.013677,40.623545,44.356449,48.61364,51.984724,53.985398,55.978459,57.822218,57.560541,64.6429
Poland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,28.168716,26.428539,23.038578,22.143247,25.851464,27.357591,33.677425,36.875709,39.606106,42.340561,48.953484,47.82447,42.761616,43.311543,49.950656,56.851823,69.723114,69.530464,72.602462,76.662323,76.951668,79.206417,82.335882,83.557542,86.514431,81.766796,81.477925,78.289183,80.46267
Portugal,45.457603,43.666797,43.987862,42.078962,45.498847,49.673683,51.362062,56.202928,61.289594,59.757629,64.330626,59.862695,64.67939,67.689803,72.997259,75.230535,78.970187,75.009686,79.824223,88.6618,88.851189,98.044143,108.25322,119.61389,117.0101,119.16345,120.8499,116.97379,115.23393,112.25672,111.79853,119.81591,130.19448,135.45296,133.97321,118.02524,102.12738,92.908627,88.103774,83.500967,76.536747,81.897748,85.438035,94.81411,96.470434,93.421664,102.27807,106.13412,118.90701,131.21043,142.75335,154.35157,160.29412,167.5715,176.63831,180.86415,184.2399,193.90096,206.28879,215.38807,217.99469,223.2013,231.60023,220.14073,208.24576,196.69507,184.29587,176.71912,167.05729,160.37387,173.7459
Qatar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.71453,18.270317,19.01051,16.729892,14.64236,13.552896,12.889003,14.666227,17.240279,20.291667,21.613799,30.69734,32.895218,26.779386,22.395417,24.821343,35.008497,44.663608,38.697996,49.014719,77.38741,79.947899,88.313825,95.189596,64.189235,97.116609,115.21137,76.590516,65.178784,60.765654,61.410857,60.598121,85.092957,68.888656,51.096013,59.139541,57.843832,53.986582,48.933075,52.595127,60.839715,72.781853,70.403948,97.633695,85.339118,64.042662,55.571011,58.766615,63.774394,91.36215,99.975315,99.253453,98.676645,118.99192,156.33933
