Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Kuwait,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.0772534,21.357676,24.570541,no data,151.13753,117.70173,88.90641,88.457858,77.977155,58.976441,52.160053,55.13867,46.554298,34.915311,35.120277,29.950557,22.99772,17.301775,11.804893,8.2570115,7.0471601,5.3760998,6.653288,6.1609899,4.6410971,3.6020541,3.091986,3.4291891,4.6534537,10.017924,20.485107,15.102651,11.635737,11.705956
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,42.400659,52.425663,57.651788,64.802583,85.123349,119.56963,123.30265,108.20749,107.94147,108.23028,92.666456,85.660709,73.35469,57.743779,49.011562,58.494401,59.69859,50.055759,50.477879,47.124756,53.596786,67.087345,59.072818,58.786107,54.817991,51.602906,68.040579
Lao P.D.R.,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.249211,14.961822,32.537397,52.602227,33.389136,64.126227,70.780348,40.800561,33.01683,31.469964,63.548159,121.11906,213.48633,192.61276,193.28267,172.56042,154.04446,140.98541,128.4903,113.02782,58.786332,82.707996,194.09228,87.583379,59.268133,94.724906,95.30836,90.148352,80.653409,73.202597,60.007021,55.92979,51.723481,51.822517,49.315029,43.004504,46.103242,49.493353,53.534106,53.052209,54.474309,57.198237,59.650477,61.121517,68.178015
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.49928,12.998522,9.8726857,8.4895912,11.652439,11.943513,13.699923,12.907679,12.698131,12.603328,10.102956,8.302001,6.4771007,15.388243,31.429512,39.121378,36.362118,35.679027,35.303617,38.165312,34.249179,38.257917,35.9724,34.989106,35.535047,42.471993
Lebanon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.8437917,4.960376,3.9819667,5.2174667,5.0664499,no data,22.368957,17.709317,22.792833,26.284666,33.995463,44.456949,127.01824,133.86887,109.30785,86.06688,82.111396,35.996964,41.554412,no data,99.727834,67.149104,51.694537,50.516477,71.533841,79.609124,101.1863,100.27393,108.23249,130.25341,148.12424,163.13555,163.17023,171.36448,169.6021,178.92585,183.29143,169.30064,161.48712,144.4992,136.82921,134.38611,130.99391,135.31874,138.29054,140.45632,145.72281,149.15098,154.02441,171.11326,150.43281
Lesotho,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.8522433,5.9796776,5.9416674,4.9847195,4.5441421,5.9762895,7.8377412,16.031424,14.842081,22.152342,28.605655,38.380814,60.267397,56.070753,56.805664,85.707849,91.902406,96.947092,105.53913,113.57104,103.76538,114.13759,78.818863,76.704253,72.161173,67.68037,77.165622,70.738892,85.543578,89.370871,95.307613,118.76416,87.933654,59.003972,52.476842,56.760518,58.948094,54.782708,47.655201,36.48824,34.094876,36.442841,39.847623,41.192818,41.320493,45.573633,40.432407,39.873258,49.565444,50.638371,50.376188
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.542757,27.000586,24.249879,27.525642,30.983057,40.024271,47.266643,180.09845,157.9801,162.93218,173.71286,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,489.59236,485.32986,481.97983,659.66767,544.3408,536.0746,472.56663,394.64882,233.61757,131.22501,25.617939,22.755384,20.549409,20.657372,25.283583,25.78916,28.726164,33.580182,40.13354,54.848286,61.887187
Libya,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.9915821,7.0315468,14.590283,11.939629,9.3948753,21.401699,19.059828,10.137755,17.344188,21.653938,15.78552,25.378702,25.638743,29.552117,29.749614,31.00606,64.858756,65.183058,63.765739,61.055027,62.555342,59.342449,57.590506,50.712478,48.746576,52.229965,40.199405,41.961023,41.664335,33.908786,26.244386,2.7896786,1.9395531,1.6637526,4.0953481,1.194316,2.3193922,1.7427162,11.785985,2.3731135,4.1567163,80.357941,189.27364,192.75306,142.70911,no data,no data,no data
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.444769,13.733627,14.90821,15.895983,21.633125,22.195425,21.775411,21.214037,19.295011,17.765386,16.85224,16.415211,14.993468,13.408145,26.435192,33.630711,33.978133,36.69538,35.789221,37.619221,39.725591,37.41717,37.874412,32.639643,34.991784,46.171344
Luxembourg,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.489593,12.615093,11.344442,9.8403041,7.8561108,6.6411509,6.1768046,6.0562882,5.5628713,4.8070992,4.3946784,4.6375097,5.1790959,5.5767193,5.8073719,5.5034381,5.7806212,4.8435405,3.5692074,2.6457745,1.8233464,1.284928,1.5278952,1.9282426,1.9114377,2.617362,3.4208265,3.7326006,4.062095,3.5147637,3.0217292,2.9332952,2.5599133,1.6629881,1.4035904,0.82781402,1.4623585,1.430923,8.4765766,8.7406867,13.022117,12.121016,14.127643,15.660383,15.016739,14.370305,13.125328,16.208595,15.795687,16.71773,19.646259
Madagascar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.82814,27.96811,26.675136,22.788052,31.035094,27.504834,11.002429,31.226096,20.104613,28.60556,37.699053,51.476434,56.055168,57.548902,70.945301,82.741244,84.905918,127.5448,126.57438,121.98022,104.39876,126.68692,109.75432,105.19201,95.963096,95.83684,98.716246,89.739565,108.45951,104.11469,90.211597,82.143742,86.692759,85.861909,81.895638,74.36638,32.226285,28.210231,30.935907,34.856575,32.341361,29.946799,30.435145,36.242924,37.848494,44.062299,40.280766,40.135993,40.393128,38.539975,46.015516
Malawi,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.504149,15.790546,17.705661,20.967357,19.774482,19.390364,20.697264,22.223908,25.402587,24.853588,25.311795,29.222284,32.518343,33.381624,32.992991,36.802725,42.826445,51.554929,43.539808,40.102573,38.039589,32.624571,43.019495,41.202142,72.480759,65.708055,40.934044,34.787223,58.585383,62.134963,61.466877,no data,101.50523,84.741451,74.660797,70.933439,17.909584,18.947762,23.523524,23.486888,19.312369,19.983401,28.606211,35.347121,33.51496,35.455124,37.080286,41.539143,43.908212,45.301832,54.718294
Malaysia,3.9429373,3.0729167,3.8661417,5.7021338,7.8143964,12.179487,12.183794,14.943426,no data,no data,19.505164,24.920924,22.775952,23.516695,24.217965,27.436419,28.021546,29.799408,32.007356,35.372241,35.689015,39.876649,42.368328,38.044231,33.898909,39.867198,41.938719,43.191677,42.621166,41.053793,40.243608,49.451147,61.234423,67.996814,66.641157,75.470401,94.609283,94.74171,89.82031,79.669841,74.129464,67.319662,59.109023,51.133873,43.722814,37.708883,32.452198,29.29811,33.427664,34.226979,32.363693,37.94826,39.524615,41.387608,41.956845,40.161793,38.749769,38.272059,37.996907,48.533227,48.865735,49.328117,50.923039,52.256858,51.93807,53.574485,51.890596,50.049672,51.185881,52.406821,61.716286
Maldives,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.353639,45.030734,38.932658,38.149144,69.782283,82.038143,78.863194,79.18122,67.403263,62.877068,62.888882,63.393655,47.997851,43.029036,42.393021,46.721829,49.044674,55.696798,54.614165,52.229155,46.93407,38.112125,39.26123,38.94849,39.01685,41.844653,44.279279,37.605798,34.674233,43.195941,36.779542,35.82367,38.957855,48.386934,52.747657,51.86343,57.123197,55.948653,55.064998,54.92114,62.271899,64.560483,72.025115,78.330689,146.04735
Mali,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,65.803804,61.958503,58.021905,43.504699,48.376747,44.655947,46.726111,48.329352,49.622843,40.536314,45.85361,57.424958,70.908154,80.812992,84.681298,98.797675,86.647144,89.012915,89.919365,77.468828,76.829733,78.987284,86.926824,87.535637,105.04305,87.202394,86.690896,90.740164,91.239945,87.684721,90.521885,77.497752,42.642965,44.149652,42.434421,46.626393,18.0658,18.534527,20.166308,21.915931,25.28873,23.964763,25.389867,26.381859,27.209747,30.666445,35.929698,35.476625,36.111558,40.554341,47.428877
Malta,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.19303,18.976663,22.34548,23.291645,25.275666,33.801658,36.156629,32.256107,30.129572,27.208299,25.05212,21.571359,18.271595,17.190003,no data,14.04162,12.770248,12.650885,14.452101,14.944583,14.418615,11.891107,14.919071,17.500719,17.137519,22.853932,25.123571,26.605369,30.796775,31.328853,33.59536,39.519143,49.312866,53.202861,54.599707,51.876009,55.040252,55.555085,61.286201,64.39693,63.380185,58.823621,56.960357,56.80226,62.094823,61.179983,64.762233,63.129726,62.685502,58.61662,53.364738,51.813543,44.916606,40.979496,37.929557,51.821315
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.2294065,9.7985254,12.505827,19.226892,23.28313,24.669359,43.768498,52.391,64.890281,58.213067,60.651943,65.583723,80.359147,85.799172,95.964302,112.77019,116.06742,118.11473,110.93745,107.56759,107.9437,96.396298,85.098121,104.82325,104.16752,101.68769,101.73906,100.24282,101.0927,no data,124.11916,125.2368,110.96248,98.773426,96.467479,83.89518,46.670867,41.307679,40.919358,41.215482,43.947383,38.838795,39.317484,40.022952,48.471415,58.746787,56.554718,54.761386,58.855888,56.830871,59.191542
Mexico,5.8956904,4.3586204,4.3950944,4.2652972,4.9133035,4.7955091,4.5235133,4.2747408,4.1039148,4.0593301,4.6267759,4.5012007,4.1969472,4.1334057,6.2210337,9.9854162,9.506521,13.042997,no data,no data,12.517342,11.467426,12.458832,13.528133,13.853589,15.787061,22.350996,22.547299,20.351165,19.519183,15.761126,no data,31.517169,26.800721,26.71255,32.251807,50.651227,55.801133,38.651786,38.165738,37.789961,30.946163,22.79349,20.375135,28.156432,32.458384,25.166004,20.649131,22.243624,20.485047,19.069494,18.479911,20.176972,21.192571,20.117455,19.568714,20.027312,20.474247,24.011392,27.45133,26.895416,27.656842,28.151823,30.761159,32.618183,34.972219,37.001055,35.206191,35.349966,36.11646,42.048401
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,45.766905,40.147961,48.136493,82.933556,77.867382,71.590159,60.816841,59.555989,52.874223,40.051348,33.256196,30.279629,23.195208,18.442649,24.197663,21.872753,19.465376,20.084057,19.677884,20.58009,22.990335,31.580362,28.879742,27.018296,24.952383,32.866523
Mongolia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.1094,49.440598,49.3186,34.4254,42.4887,52.215702,66.268003,88.745801,67.814384,59.118202,61.534466,77.019356,64.419809,55.894397,41.870644,36.519698,38.559303,44.737058,26.423112,29.284594,45.693212,51.31855,56.821412,62.308826,78.80291,72.460001,63.51525,59.353964,70.316616
Montenegro,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,84.478073,42.287806,40.226784,38.568239,32.31428,27.414091,28.830302,38.084282,40.661229,45.439495,53.419842,57.487314,56.186924,62.29669,60.770136,61.126178,67.6151,74.911791,103.28212
Morocco,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.486322,29.23676,30.022059,29.314174,27.04836,30.675337,31.142274,30.004981,28.594362,26.608113,36.15252,39.168801,51.397127,56.843557,56.346384,57.162023,72.135901,76.53603,90.428818,100.93635,112.55074,102.08928,108.94878,96.310853,99.510416,95.794763,82.487539,81.409411,85.540855,80.820372,78.157646,70.705903,73.542483,69.824105,68.572234,70.191983,65.403584,64.253077,61.609418,58.906322,59.269993,54.805626,50.935398,45.442766,46.126098,48.997736,52.546668,56.532281,61.727063,63.339205,63.687838,64.879325,65.124242,65.197756,65.069058,75.372572
Mozambique,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,99.567722,100.46382,104.41521,66.405633,65.963371,52.803164,62.38003,41.480848,32.256583,33.705477,40.482005,39.617802,34.719739,37.435636,50.134697,64.340685,87.42596,119.88048,99.58717,107.14659,105.4257,128.45134
Myanmar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.592086,25.525826,29.436278,32.698781,34.350244,34.798363,32.674356,33.912763,33.444566,32.491944,28.948999,no data,no data,no data,no data,no data,no data,no data,no data,122.64902,124.41572,117.04336,107.09299,101.12179,111.67778,no data,no data,no data,201.3047,145.41615,158.69889,252.78429,183.93997,140.89613,122.14037,114.7824,99.476986,74.646078,57.710334,54.436941,52.478061,47.880476,36.514002,36.055612,35.222219,36.374044,38.334389,38.470072,40.415435,38.752776,39.30095
Namibia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.696761,11.705149,11.78639,15.42998,18.739561,17.83991,20.277816,21.191665,20.029785,23.324456,24.6336,21.017982,24.584124,22.366204,27.377284,29.42664,27.142016,25.243489,19.364143,19.096995,15.850734,16.328159,27.449615,24.627843,26.113411,27.57162,42.090021,45.832943,43.829308,50.40498,59.191271,66.176884
Nepal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.55789789,1.2997498,1.7301568,2.4806735,2.8228647,3.7097035,6.4914816,8.9888537,8.765432,9.3533493,11.68422,12.64967,17.940663,22.587177,25.161008,28.83522,31.279179,36.244353,35.820881,40.678968,45.886734,45.791395,50.084998,50.871743,52.777085,52.008219,50.172079,47.080695,51.256436,55.663303,50.675244,50.653957,51.700539,52.857188,51.209912,45.03275,42.773831,37.80124,36.675924,39.375093,35.312585,32.352838,34.514816,31.898804,27.551021,25.730446,24.957344,24.989108,30.080808,33.134106,42.159051
New Zealand,89.130445,85.207558,79.9868,74.11551,69.676208,68.486637,65.849882,63.958256,63.647696,62.356274,60.041319,60.491352,58.137423,57.349335,54.905981,53.453773,54.223731,55.796444,57.383157,55.123095,49.679552,44.54391,40.612231,38.567239,37.773251,36.751918,40.245659,43.148242,45.323431,45.719564,44.746477,43.106522,46.585325,55.78599,56.622163,62.509376,68.560945,62.957698,54.764869,54.95084,55.451006,58.006073,58.658747,54.593789,48.932562,43.467798,37.261628,34.629104,34.484717,32.013964,30.011214,28.16288,26.404742,24.693931,22.512926,20.785542,18.399477,16.31002,19.005312,24.323839,29.689493,34.721169,35.728807,34.569674,34.178944,34.21404,33.363755,31.094686,28.047674,32.025846,43.639587
Nicaragua,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,86.40458,86.469963,99.826428,95.219355,87.475546,110.38549,109.54021,84.047522,66.607603,51.15567,30.916019,25.999247,29.258146,30.34714,28.794343,27.85246,28.835446,28.689616,28.910783,30.915916,34.080408,37.68569,41.690291,47.918968
Niger,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.7648905,7.3753909,8.9197278,9.4809439,13.268374,11.759934,10.760649,8.7717698,10.548429,10.537588,13.780378,23.163187,24.987813,32.095309,39.94774,48.460927,44.325938,44.638679,44.620336,40.736143,41.266171,41.079935,40.788367,45.016779,72.190084,64.366121,63.507451,69.100909,61.284326,63.347535,82.104464,73.982285,69.035392,60.603839,55.049798,49.460225,18.282811,17.830295,14.170103,15.936062,15.078104,14.74672,18.12966,19.554422,22.08588,29.870103,32.826827,36.494147,36.907324,39.802471,44.969616
Nigeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.021693,11.457581,6.4959013,5.2197585,4.8220749,5.6283809,4.2878679,3.9413806,4.0112399,5.759768,7.9307204,8.3064779,8.3563119,11.448737,15.378818,21.638823,23.218735,23.60903,37.660849,66.563284,58.28107,62.802314,62.419562,69.015319,66.912119,66.421379,55.121344,37.21849,24.530162,23.052275,22.432049,52.781391,55.979532,51.725859,38.704751,37.698361,31.038145,18.940167,9.4041212,8.1163309,7.2761081,8.6172319,9.449583,10.232862,10.419337,10.483402,10.578898,11.503215,14.172128,15.985781,24.969587,26.459895,31.544579
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,45.430978,18.187184,20.038626,25.042211,no data,no data,no data,no data,39.558883,35.707814,33.902555,35.997816,29.790613,22.880829,19.966592,23.141917,23.678038,27.37466,33.282611,33.828723,37.915612,37.870021,39.721491,39.292159,40.306899,40.550344,51.085361
Norway,31.531778,26.343642,23.795507,25.961466,26.189225,26.701045,26.860668,28.146451,28.460896,29.897832,29.460855,25.106559,24.276079,22.975552,22.075069,19.776139,19.435289,20.177711,20.169987,19.907802,20.642387,21.223579,22.784565,23.051003,22.851378,24.12889,25.698079,30.436835,35.241491,38.173996,33.587827,29.494292,25.671428,20.549932,22.863811,25.318189,33.387121,26.028116,25.067461,24.896597,21.9864,22.5242,26.691043,34.646364,32.343635,30.187128,27.006759,24.197785,21.80999,20.446176,18.968423,17.815004,18.643315,20.972559,17.989366,16.790662,12.153637,11.290573,13.423889,25.845992,25.207497,19.95973,20.824358,19.667891,15.45628,15.518834,16.642749,15.841775,14.740679,14.309278,18.689683
Oman,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.5156144,2.3880127,13.746853,10.948563,12.607894,6.5707275,7.1246699,0.31644229,0.15185696,0.02386505,1.2553872,0.68672136,0.72727423,1.5209266,5.1976772,2.6356524,4.9546761,2.1430329,1.1213496,25.91474,26.451179,25.479974,27.088501,25.080364,24.322451,23.806283,35.447851,33.078119,24.805614,25.630829,18.186464,14.902272,16.646495,9.5818143,8.6526708,5.0960893,3.6669711,6.6525057,6.2226732,5.0616465,5.2323272,5.3202385,4.6176276,15.825204,33.660877,45.93349,51.253634,60.525454,81.156026
Pakistan,no data,13.451558,15.923218,17.049572,19.295063,18.461679,19.162348,21.574313,23.330753,21.731819,22.158341,21.218331,20.771639,23.921301,26.60574,28.299574,31.272984,32.375044,34.355469,36.35378,39.407685,41.4305,110.68176,54.152232,47.397329,40.049282,44.734742,45.441074,45.119821,45.887501,41.541654,37.012729,42.155352,41.908748,41.667345,46.233148,53.760115,55.387529,56.13296,58.186755,60.26123,69.616406,66.567677,72.311923,72.962366,65.233329,65.48828,65.794295,66.961726,75.634558,76.97864,81.207633,76.059708,70.546979,63.365794,58.908109,53.935031,52.514524,57.603412,58.690413,60.72227,58.9776,63.422835,64.45294,63.527429,63.32011,67.646207,67.060382,72.0772,85.299571,87.563061
Papua New Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.1321271,8.7985261,11.181786,15.752077,14.228642,16.450204,18.110411,15.15184,14.385088,16.46347,18.304557,20.085813,22.76734,25.612037,29.214547,32.205728,33.616533,36.74667,24.958139,27.732961,33.102891,31.519684,30.395808,29.991824,40.066328,36.565828,37.796695,43.918499,45.730654,41.757082,42.33339,47.664399,48.432345,40.419982,37.176489,31.562091,25.980498,22.156642,21.555321,21.716174,17.285863,16.278354,19.123929,24.889627,26.894612,29.930616,33.74019,32.48437,36.67618,40.040498,48.874595
Paraguay,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,33.8004,34.525603,34.389266,31.831869,25.303077,25.412737,27.023378,24.257301,25.313112,21.366427,18.799318,16.319507,19.77765,23.328725,30.255865,41.12863,40.321441,57.052435,39.840636,56.128122,39.325089,25.752902,25.396561,24.608161,23.917864,21.330955,19.969283,19.050668,23.56098,27.668136,30.241888,30.230879,42.674802,32.186355,22.568311,18.445737,14.210224,11.789434,10.161678,9.7649628,8.7177255,7.4031436,9.1484077,10.370231,12.426744,14.826644,15.494379,15.898644,17.857879,20.719562,21.879088
Peru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,43.397877,43.579455,39.83349,37.226907,29.917154,25.780045,23.087401,22.77103,20.684603,18.395561,16.876215,16.139535,17.060071,20.181861,21.194644,21.378916,22.038371,23.188735,30.689318
Poland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.5023374,7.5566441,8.2932169,10.344642,3.253212,13.75215,19.958604,21.260913,60.335524,48.432355,42.956538,42.394841,39.093435,39.541158,36.202888,32.881272,41.193326,44.923102,44.133707,46.571697,46.609152,42.233905,44.334074,46.027347,48.509088,49.265413,48.899406,50.890461,45.577271,46.335296,49.834867,46.660812,44.979709,42.444553,47.226619
Portugal,20.710377,19.670658,19.233838,17.81653,18.237172,17.338056,16.138774,15.299991,18.839453,18.27764,17.474445,17.586978,20.363815,21.57638,22.777744,22.060272,21.350391,19.533406,18.041322,17.285038,17.013661,16.781805,15.692389,15.070638,14.680854,21.096771,25.606515,26.682778,29.467522,20.261824,29.096276,35.836654,39.188875,42.520793,47.148108,50.754905,50.65684,56.621048,56.038178,54.635392,50.654005,51.684073,49.655952,55.416874,57.387625,60.134608,61.313216,57.275955,55.077797,55.421548,53.563266,56.095705,58.496347,62.104721,65.118583,69.673995,71.115551,70.222027,73.297012,84.937326,97.413964,111.97857,128.10436,131.01413,133.51058,132.03426,132.94025,128.76077,124.64416,119.51457,139.06009
Qatar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.589623,21.770284,19.909528,46.278885,54.776853,50.204092,57.837155,54.382216,76.565189,81.845911,51.599361,59.224632,47.66579,38.788116,30.060952,19.125584,13.947019,9.3652151,11.356678,35.980433,30.425204,33.473878,32.118411,30.883226,24.911957,35.546881,46.706774,51.568807,52.177301,62.276482,72.09518
Romania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,18.823344,18.883142,18.377206,18.654431,22.958328,23.100759,27.38727,26.80101,23.461579,19.904589,16.129015,13.418296,13.012887,12.494512,21.185984,28.590077,32.994656,35.815989,36.466337,38.281426,37.455668,37.557934,35.723305,35.623248,35.941144,47.666209
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,116,92.4,63.5,53.7,51.9,54.7,73.1,88.7,58.8,48.5,34.5,27.8,21.7,13.288623,8.4438857,6.745055,6.0869028,7.7758239,8.380489,8.8884453,9.5735308,11.058048,13.786413,14.148992,13.845245,13.494531,12.917729,13.208076,18.61495
Rwanda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.7838211,5.5866071,7.6236518,8.8267826,8.4111047,7.4739457,8.8312022,9.8929456,11.633302,9.227617,12.202004,13.909455,15.24255,17.665751,21.020406,20.645683,24.213188,29.887918,33.008745,26.917769,49.170508,47.84069,47.910217,50.988103,54.770678,91.868547,83.44702,72.227045,70.099366,78.366919,85.990649,84.02129,92.125537,79.604202,80.942806,58.973367,22.504118,22.107866,18.29286,18.501836,18.833263,18.726261,19.09444,26.080487,28.328217,32.384691,36.562695,41.316543,44.931206,50.202636,60.113493
Saint Kitts and Nevis,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.422307,18.748106,17.404057,15.09764,14.574727,14.097127,13.039067,15.715249,13.043042,10.073082,7.8710564,11.211848,14.539433,9.7932395,13.223594,14.958505,22.449785,21.355968,18.730674,12.607289,no data,88.839418,98.539411,92.926773,84.669909,87.115792,91.267072,85.936486,81.670159,56.080814,44.902898,37.198708,33.633991,31.825533,25.403161,22.853157,25.51343
