Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,54.397341,56.038876,34.686286,35.230081,31.198184,27.635188,25.486588,25.515152,21.24532,18.709226,30.885399,35.066603,40.80537,39.550107,42.20738,42.499066,45.858714,45.531113,44.081497,39.239713,34.271054,32.525856,36.716714
Botswana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,44.985707,45.034481,41.735828,41.685551,44.782912,41.616433,21.483881,13.860046,13.037401,16.201995,19.136356,19.23409,22.633049,31.900485,27.652576,23.557417,17.798411,16.466808,14.936432,16.526292,15.841013,17.199976,16.807352,15.509576,13.19794,11.048115,12.419094,9.92341,8.5254754,7.8543995,8.7996237,7.5234466,11.086349,8.0571784,6.8378788,5.8842799,7.9100228,19.465905,22.26421,21.37776,20.57511,18.805585,18.012157,19.021619,16.415219,14.700323,15.807452,16.117733,20.078094
Brazil,8.9678571,6.8686004,5.5413825,13.948944,14.682077,17.035887,34.547707,22.064788,30.609535,23.991268,22.266283,25.646558,23.649385,20.398066,22.171347,21.896205,17.354283,16.342959,17.351877,18.43053,18.244032,20.100595,26.478108,21.064147,21.185507,23.983085,26.082983,28.736148,32.426913,30.756802,48.145463,53.716151,52.236152,47.908498,91.019405,58.862236,56.27918,107.65568,75.64964,33.802209,50.002665,60.3071,98.414334,77.026471,39.49985,33.390598,40.228735,42.482921,54.424387,64.583266,62.645676,66.265559,74.976546,70.573579,67.073005,66.262309,63.952416,62.451685,60.656016,63.807696,61.31878,59.341658,59.849478,57.228409,58.457271,67.537543,73.418792,78.608913,80.359371,82.483357,92.91657
Brunei Darussalam,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.6355068,1.7712613,0.88839056,0.36757662,0.28752207,0.59726904,0.69158211,0.94371186,1.1080242,1.1129075,2.1285201,2.1006368,2.2085993,3.2312276,2.9530869,3.0048788,2.8255071,2.585699,2.5752399,2.8573882
Bulgaria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.9,6.7,10.3,14.9,22,27,29.4,39.6,48,57.1,115.2,145.95946,233.26666,138.80851,84.049258,113.84201,88.374958,65.136164,70.336439,70.722446,65.009609,52.485747,45.192122,37.127523,28.470016,26.051553,23.13264,17.680713,19.443998,19.984876,19.071959,20.515449,20.969109,31.326748,29.724558,33.727919,29.701988,26.651845,24.711128,30.467919
Burkina Faso,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.2331958,2.4564949,2.5071585,3.3682835,4.796656,6.5271897,9.6793469,11.076827,13.211384,14.196449,14.489114,17.06811,19.581364,23.953633,27.217083,28.494335,27.580934,30.685051,28.829734,25.541248,25.601213,28.732834,29.589874,33.592028,55.119092,48.933324,45.845272,48.371047,47.682959,46.442959,47.479993,46.62703,43.286942,39.673687,40.740453,39.214346,20.08844,22.814502,23.030985,25.871201,27.763865,24.503602,25.21049,25.900832,26.5555,31.373105,33.248478,33.647659,37.978998,42.016943,46.541037
Burundi,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.676643,6.3438928,7.2539128,8.9753036,10.38695,9.510366,8.4688034,6.9271199,7.5500097,7.8289474,7.2789332,8.8638597,10.289896,12.407711,17.341722,22.188781,19.211775,22.685379,27.186447,37.011103,44.285458,47.686279,54.810624,74.867571,81.841977,83.452747,84.040817,84.350586,93.458499,111.9717,119.62528,117.12097,139.3973,122.80046,138.86754,140.64547,136.42511,127.38667,159.08831,171.96926,172.73834,136.98012,130.25485,129.61325,102.51523,25.690163,46.911653,42.70571,41.430492,37.857602,37.970669,39.925975,46.119015,46.902246,52.970869,60.330431,66.991178
Cabo Verde,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,32.973278,44.175315,53.139859,58.343652,68.658223,54.976713,45.295789,45.245823,42.394425,38.664399,45.496497,61.269998,57.008,73.386341,74.265484,85.739682,89.513969,82.227784,69.967778,82.636759,79.913842,82.548422,81.358895,83.744573,85.338579,77.72692,64.980958,57.600403,64.141831,72.545521,78.497221,91.092431,102.48988,115.92352,126.64856,128.36478,127.21687,125.5907,124.92162,158.11658
Cameroon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.531159,14.919104,13.573678,13.764861,13.506305,15.812296,19.75202,28.041564,30.097889,30.938579,29.080029,26.182503,26.046974,26.06404,23.434369,25.639688,26.37904,26.933749,28.3095,37.489119,44.258558,46.948485,58.016805,57.761926,97.504403,115.03694,101.78255,no data,73.197874,73.858013,79.315661,65.614725,60.410583,56.427599,55.76896,47.650002,19.810129,14.749608,11.657101,12.035677,14.704483,15.690083,15.411946,18.211933,21.533792,25.947344,27.11421,30.636107,34.29563,36.89372,40.205253
Canada,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,51.030552,55.908107,59.062324,62.498912,63.08468,64.186571,64.515825,61.482083,58.709497,52.917027,46.190434,46.009193,42.916778,40.477244,36.570387,36.144669,33.69983,29.826243,34.623283,42.450555,43.069407,44.029947,45.154419,41.385214,39.664935,42.265508,41.445396,39.068158,36.150348,35.740889,59.278472
Central African Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,20.267715,20.382721,20.533689,24.718758,26.615188,25.136174,25.38361,26.492999,24.295677,20.358664,30.89648,35.061073,36.41552,40.364878,42.054947,38.926429,40.96401,48.81114,48.756173,50.887761,44.566275,55.776128,57.416969,68.220389,103.44409,83.828781,92.986685,88.462828,85.321399,84.161825,94.679124,103.11495,98.518256,95.88629,99.723518,102.96241,46.749964,47.850796,35.765994,20.300304,19.883381,19.686291,31.532795,51.789588,62.239951,59.790414,53.8873,50.274905,50.033958,47.178936,44.140327
Chad,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.100163,15.743067,11.318839,12.251058,16.39084,21.49462,24.463783,29.90073,32.609357,41.705329,40.819996,30.893945,27.019295,26.499705,22.452259,20.700147,20.635891,24.038675,23.754461,25.496705,27.788922,33.750776,38.431212,48.45117,57.113196,53.348583,52.555769,53.597817,45.011346,57.966433,67.984918,56.448863,54.432,44.656,32.635,28.483974,26.165427,22.069533,20.098645,31.525456,30.050703,30.565809,28.764682,30.630879,39.506106,43.881635,51.344351,50.260676,49.055141,52.316437,47.908352
Chile,9.1905387,8.0924881,8.6014722,6.9616212,5.5768784,5.0716072,7.2584324,9.2966493,9.0234805,9.603881,7.0171943,7.9653233,6.9867114,9.2293007,9.6035598,12.594522,12.605771,14.885165,17.850577,21.472461,26.325297,20.020564,10.063467,11.073605,18.822461,28.362662,19.541171,16.548971,25.963772,23.231504,17.386304,14.019425,20.314546,45.497521,56.624765,79.776957,88.391965,81.597699,71.158261,51.898658,50.25715,44.258348,36.118063,32.569852,29.057703,22.305985,16.927546,14.471424,14.67549,16.074174,15.579083,14.458504,15.167241,12.716767,10.298778,7.0004029,4.9892002,3.8786887,4.9209105,5.8201408,8.5594145,11.088394,11.94548,12.732205,14.957543,17.276685,21.013953,23.602831,25.618297,28.197882,32.538756
Colombia,5.6463047,5.08059,5.0671549,4.6987299,4.8456358,4.0321652,4.427949,4.8886345,5.8705197,5.094942,4.87468,6.2712499,11.868526,12.031234,11.367706,12.456431,13.88956,12.614112,13.430275,13.956941,14.444321,14.684824,15.133106,14.078686,13.671229,12.403487,10.935662,8.4259456,6.7479611,7.2437834,7.3354549,7.7496124,8.1879896,9.6009738,13.25884,16.511733,19.47369,18.582506,17.967843,17.101541,16.631304,14.8314,16.461349,14.322981,12.351126,8.7997679,9.260011,11.743257,13.689719,20.317764,26.458445,31.060679,37.122578,36.648263,34.980178,32.705397,31.026188,27.219757,27.19522,28.880841,29.51878,29.089045,27.328331,29.569395,32.884998,37.299216,37.375775,38.29215,41.362183,40.638351,51.695146
Comoros,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,151.30994,143.75186,137.3914,129.39761,120.28208,113.93562,108.36808,104.07539,101.17687,95.9176,87.962025,77.864423,75.525219,71.054325,69.536408,64.623598,60.818169,53.046257,48.238704,44.497791,42.44646,39.8646,38.478977,35.615571,33.217032,31.729574,30.458622,27.668203,25.07316,10.277146,11.89522,14.441937,16.275774,17.240718,16.938963,19.51589,22.303569
"Congo, Republic of ",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,35.059027,36.498249,33.75462,32.869578,39.364271,44.088455,48.564995,56.792573,67.534305,63.060746,64.170612,82.763902,124.25339,143.64242,159.78374,191.31276,170.06597,166.41296,161.20279,151.66517,155.44706,142.30598,129.84222,148.47945,231.13606,226.32242,189.82004,198.98718,230.18182,206.32083,145.01979,180.08247,163.51317,185.30958,122.59108,99.751538,94.724867,93.757445,69.598022,83.835525,43.48701,34.389938,30.197581,33.939154,42.325413,74.190157,91.04775,94.224079,77.134365,81.695441,101.04974
Costa Rica,29.384509,25.639386,21.474547,19.528352,16.056891,15.797753,15.292321,16.233403,14.235339,17.069255,16.11956,20.308606,19.68242,21.793667,22.714927,24.077892,24.748158,26.672997,27.690327,25.671494,28.620772,30.421562,31.838881,32.822984,30.349659,26.068845,29.493061,27.795941,41.706484,39.507906,37.717767,32.264752,31.828136,29.785968,25.226001,22.826959,26.140501,21.184487,18.224867,19.309188,18.543776,28.364643,23.3218,24.4337,26.974278,29.058676,33.685458,30.559077,40.69086,38.983835,38.85016,39.643885,41.437843,40.565779,41.001622,37.320805,33.036832,26.975257,24.007129,25.994862,28.084487,29.503636,33.753068,35.090928,37.480299,39.774849,43.78136,46.781762,51.584301,56.383893,67.523748
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,44.468125,17.494931,15.108134,13.229115,10.451039,9.2469483,28.529186,33.880376,35.145089,35.175085,36.644007,39.436284,40.489684,38.005127,36.636118,38.542462,47.759261,56.453007,62.982229,68.889597,79.703725,83.214336,82.836408,79.472379,76.371738,72.823057,71.310106,86.819491
Cyprus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,85.208174,87.497867,92.068342,95.689287,96.251436,95.884122,90.57028,84.880924,77.323462,89.092393,92.704321,103.15881,119.4284,146.32517,152.58626,149.40278,142.98569,132.39181,138.15496,133.25377,162.06317
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.328988,11.420331,12.475804,10.304742,10.859634,12.622599,14.009604,15.831947,21.50589,24.335577,26.47557,26.344705,25.55222,25.288986,25.171646,25.953409,30.945194,34.646132,37.254595,41.523662,41.854987,39.429228,37.621423,35.732049,33.93579,32.387477,30.956343,39.094423
Côte d'Ivoire,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.237048,15.026795,15.246221,16.209335,17.02094,17.101316,19.822917,23.409341,27.601681,33.0108,34.744062,44.126097,56.370791,61.418205,no data,95.320464,91.545344,105.94874,102.95507,122.62309,132.10708,144.85113,140.44143,146.98177,173.87193,143.73085,141.47355,121.058,no data,78.018488,73.987131,71.172106,62.982053,56.381244,56.718036,58.164367,57.471033,53.532967,51.240256,46.475895,45.612147,50.028835,24.693006,24.623856,26.710175,29.456285,31.745292,33.534491,36.024062,38.777428,47.74335
Denmark,46.339022,41.085274,38.725077,36.138771,29.395416,29.840941,28.607456,27.085488,26.14735,23.119945,19.925955,16.404332,15.081635,13.47408,10.754404,7.866571,6.096216,5.8197344,5.293,4.752414,4.8066611,5.0172269,5.2844716,4.9619712,4.5608446,4.33788,7.5493335,10.792214,19.466923,26.313833,33.952409,43.762347,56.245214,67.617685,70.167349,68.315221,65.951843,63.144078,61.417831,59.82124,61.433663,62.287281,66.748644,78.387362,75.53708,74.289689,72.480019,67.819591,62.791582,59.491543,53.598169,50.658901,50.245626,48.36607,45.717071,38.282882,31.757338,27.068642,31.230107,36.437683,38.165226,41.028961,39.974839,38.35388,38.221198,33.367938,30.677969,29.288222,27.446274,26.41186,34.633049
